股票代码,分类,出现次数
002716.SZ,有色,8
002716.SZ,有色&nbsp;,1
002738.SZ,有色,5
002739.SZ,AI应用,1
002747.SZ,机器人,8
002747.SZ,消费电子,1
002759.SZ,新能源,2
002759.SZ,AI应用,1
002792.SZ,商业航天,7
002792.SZ,北美算力,2
002812.SZ,新能源,6
002821.SZ,ҽҩ,4
002837.SZ,北美算力,54
002842.SZ,有色,1
002850.SZ,新能源,1
002851.SZ,北美算力,28
002851.SZ,电网设备,2
002851.SZ,新能源,1
002865.SZ,商业航天,3
002916.SZ,北美算力,50
002929.SZ,AI应用,5
002938.SZ,北美算力,28
003031.SZ,北美算力,1
300001.SZ,AI应用,1
300014.SZ,新能源,44
300017.SZ,AI应用,34
300017.SZ,商业航天,1
300033.SZ,券商,32
300033.SZ,非银金融,1
300042.SZ,北美算力,2
300054.SZ,半导体,17
300058.SZ,AI应用,58
300058.SZ,算力,1
300059.SZ,券商,82
300059.SZ,非银金融,3
300063.SZ,AI应用,2
300065.SZ,商业航天,7
300065.SZ,军工,2
300085.SZ,券商,3
300088.SZ,AI应用,2
300088.SZ,半导体,2
300088.SZ,北美算力,1
300102.SZ,商业航天,6
300102.SZ,北美算力,2
300113.SZ,AI应用,1
300115.SZ,消费电子,2
300118.SZ,商业航天,5
300124.SZ,机器人,8
300133.SZ,AI应用,1
300136.SZ,商业航天,95
300139.SZ,有色,10
300164.SZ,化工,8
300166.SZ,AI应用,10
300170.SZ,AI应用,5
300179.SZ,金刚石,3
300179.SZ,北美算力,1
300182.SZ,AI应用,2
300184.SZ,半导体,1
300189.SZ,ũҵ,1
300204.SZ,ҽҩ,2
300207.SZ,新能源,8
300209.SZ,AI应用,1
300223.SZ,半导体,57
300223.SZ,半导体&nbsp;,1
300229.SZ,AI应用,3
300244.SZ,AI应用,1
300251.SZ,AI应用,5
300253.SZ,AI应用,4
300255.SZ,ҽҩ,1
300260.SZ,半导体,1
300274.SZ,新能源,87
300274.SZ,AI应用,1
300274.SZ,新能源老赛道,1
300285.SZ,北美算力,44
300296.SZ,MICROLED,1
300300.SZ,ͳһ,1
300302.SZ,半导体,4
300303.SZ,北美算力,1
300308.SZ,北美算力,102
300315.SZ,AI应用,2
300316.SZ,商业航天,4
300319.SZ,北美算力,7
300323.SZ,半导体,2
300339.SZ,AI应用,3
300342.SZ,商业航天,20
300346.SZ,半导体,30
300346.SZ,半导体&nbsp;,1
300364.SZ,AI应用,6
300373.SZ,半导体,3
300383.SZ,北美算力,10
300383.SZ,AI应用,2
300390.SZ,新能源,46
300390.SZ,半导体,1
300394.SZ,北美算力,102
300395.SZ,化工,22
300395.SZ,北美算力,14
300398.SZ,北美算力,4
300398.SZ,半导体,2
300408.SZ,北美算力,48
300409.SZ,AI应用,1
300418.SZ,AI应用,32
300418.SZ,算力,2
300418.SZ,大模型,1
300432.SZ,新能源,4
300433.SZ,消费电子,54
300433.SZ,商业航天,2
300433.SZ,AI应用,1
300436.SZ,ҽҩ,1
300438.SZ,新能源,6
300442.SZ,AI应用,45
300442.SZ,算力,1
300442.SZ,北美算力,1
300450.SZ,新能源,8
300450.SZ,AI应用,1
300450.SZ,新能源老赛道,1
300454.SZ,AI应用,1
300456.SZ,半导体,11
300456.SZ,北美算力,3
300456.SZ,半导体&nbsp;,1
300456.SZ,AI应用,1
300458.SZ,半导体,10
300459.SZ,AI应用,1
300475.SZ,半导体,85
300475.SZ,半导体&nbsp;,1
300476.SZ,北美算力,102
300476.SZ,商业航天,1
300499.SZ,北美算力,1
300502.SZ,北美算力,101
300503.SZ,机器人,4
300505.SZ,化工,1
300520.SZ,AI应用,1
300548.SZ,北美算力,48
300548.SZ,半导体,1
300567.SZ,半导体,1
300570.SZ,北美算力,42
300570.SZ,半导体,1
300604.SZ,半导体,61
300604.SZ,北美算力,2
300604.SZ,半导体&nbsp;,1
300620.SZ,北美算力,49
300624.SZ,AI应用,1
300655.SZ,半导体,1
300657.SZ,北美算力,3
300657.SZ,AI应用,1
300657.SZ,机器人,1
300661.SZ,半导体,5
300666.SZ,半导体,39
300666.SZ,北美算力,1
300672.SZ,半导体,4
300724.SZ,商业航天,6
300724.SZ,新能源,6
300738.SZ,AI应用,3
300748.SZ,有色,1
300750.SZ,新能源,87
300750.SZ,AI应用,1
300750.SZ,新能源老赛道,1
300751.SZ,新能源,9
300751.SZ,商业航天,5
300751.SZ,半导体,1
300757.SZ,北美算力,32
300757.SZ,商业航天,5
300759.SZ,ҽҩ,6
300762.SZ,商业航天,2
300763.SZ,新能源,8
300766.SZ,AI应用,4
300769.SZ,新能源,3
300773.SZ,AI应用,2
300775.SZ,军工,1
300776.SZ,北美算力,1
300782.SZ,半导体,7
300782.SZ,北美算力,5
300803.SZ,券商,3
300821.SZ,半导体,5
300827.SZ,新能源,5
300846.SZ,AI应用,2
300857.SZ,AI应用,53
300857.SZ,算力,15
300857.SZ,半导体,1
300975.SZ,北美算力,5
300975.SZ,半导体,1
301005.SZ,商业航天,2
301165.SZ,北美算力,6
301171.SZ,AI应用,14
301205.SZ,北美算力,11
301217.SZ,北美算力,29
301217.SZ,新能源,7
301292.SZ,新能源,1
301308.SZ,半导体,87
301308.SZ,半导体&nbsp;,1
301358.SZ,新能源,6
301396.SZ,AI应用,19
301486.SZ,北美算力,1
301511.SZ,北美算力,22
301511.SZ,新能源,3
301526.SZ,北美算力,35
301526.SZ,化工,10
301536.SZ,半导体,3
301536.SZ,北美算力,3
301583.SZ,半导体,2
301666.SZ,半导体,11
600010.SH,有色,18
600011.SH,电力,3
600021.SH,算电协同,1
600026.SH,船运,4
600026.SH,油运,2
600026.SH,化工,1
600026.SH,航运,1
600028.SH,化工,4
600030.SH,券商,48
600030.SH,非银金融,4
600031.SH,工程机械,1
600031.SH,机械,1
600036.SH,红利,17
600036.SH,老登红利,3
600036.SH,传统老登红利,1
600036.SH,老登,1
600066.SH,红利,1
600089.SH,电网设备,38
600089.SH,电力设备,2
600089.SH,AI应用,1
600096.SH,化工,5
600103.SH,造纸,1
600105.SH,北美算力,86
600105.SH,AI应用,1
600105.SH,可控核聚变,1
600110.SH,新能源,4
600110.SH,北美算力,2
600111.SH,有色,64
600111.SH,AI应用,1
600111.SH,有色&nbsp;,1
600118.SH,商业航天,51
600126.SH,AI应用,1
600126.SH,有色,1
