date,open,high,low,close,volume,amount
2021-08-02,286.79187890294,296.05469021616,274.37281226175,284.21744551961,18297279,10131832068.13
2021-08-03,285.7621055496,286.27699222627,269.28573189629,273.40482530962,12238308,6535093739.81
2021-08-04,274.94948533962,293.99514350949,270.31550524963,292.97051902293,17400431,9647161978.27
2021-08-05,291.42585899293,291.42585899293,281.40101539824,286.79187890294,12979233,7197921132.82
2021-08-06,290.80284611416,291.9407456696,277.52391872295,280.03656570508,14371245,7918384463.82
2021-08-09,273.91971198629,274.17715532462,258.98284949621,265.68152515963,18583111,9534234240.43
2021-08-10,263.11224064307,267.3240136582,256.92845165631,262.84964843797,18016853,9152881562.62
2021-08-11,262.59220509964,269.28573189629,259.95598531511,266.32513350546,11236434,5790098627.49
2021-08-12,263.62712731973,264.13171626287,254.35401827298,258.47311168631,17116184,8599262131.01
2021-08-13,247.14560479966,272.83844996529,247.14560479966,258.49885602014,27725763,14085448989.05
2021-08-16,254.35401827298,259.44624750521,241.9349516318,245.60094476966,22043980,10620462840.25
2021-08-17,249.72003818299,254.76592761431,245.72451757206,247.14560479966,15610638,7586087133.68
2021-08-18,250.51296366505,258.93650969531,245.81204830709,254.86890494965,15957481,7861906061.17
2021-08-19,258.47311168631,262.45318569694,249.20515150632,258.98799836297,14453518,7215253955.37
2021-08-20,256.92845165631,257.03142899164,248.43282149132,254.41065580741,12527606,6160678537.9
2021-08-23,260.01777171631,269.39900696516,258.47826055308,268.71935655196,16224431,8359923041.06
2021-08-24,265.8874798303,278.09029406728,265.22842488417,269.28573189629,13313712,7011227150
2021-08-25,269.80061857296,274.02268932162,263.21006911164,273.01351143536,9530347,4963866861.09
2021-08-26,278.02850766608,287.79075905567,268.19932100853,268.25595854296,16798255,8951110526.85
2021-08-27,267.7410718663,269.80061857296,258.47311168631,261.30498840797,11958157,6098898952.57
2021-08-30,261.27924407414,270.72741459096,256.85636752158,260.14134451871,15714333,8036791726.73
2021-08-31,263.59108525237,263.59108525237,250.15769185815,254.80196968168,14762087,7288932626.770001
2021-09-01,253.32424491965,254.35401827298,242.769068048,251.63026775342,14462675,7006043909.9
2021-09-02,253.32424491965,255.44042916075,250.12164979079,254.09657493465,11464887,5637614465.94
2021-09-03,256.41356497964,259.44109863844,247.59870507512,250.49236819799,11282023,5523301032.38
2021-09-06,253.83913159631,266.71129851296,248.69026482966,265.7330138273,14791957,7471544141.65
2021-09-07,265.16663848297,271.17021713289,262.59220509964,264.65690067307,9422232,4866454172.22
2021-09-08,267.22618518963,269.58436616876,257.44333833298,258.98799836297,9739395,4960557751.53
2021-09-09,262.3347617613,267.2158874561,252.70638090765,261.15052240497,11016209,5541869353.34
2021-09-10,254.06568173405,259.38960997077,252.64459450645,258.52460035398,11296936,5625272662.43
2021-09-13,258.52460035398,263.67346712063,255.38379162631,258.88502102764,8968966,4498932655.14
2021-09-14,261.10933147084,278.55369207628,258.94680742884,272.83844996529,23383657,12347086768.78
2021-09-15,272.88993863296,273.91456311952,263.5241499844,270.49571558646,10501454,5470153200.69
2021-09-16,269.28573189629,269.28573189629,256.41356497964,256.41356497964,11260408,5712849969.45
2021-09-17,255.89867830298,262.07731842297,253.39118018762,258.98799836297,8193837,4095076761.76
2021-09-22,254.66295027898,257.95822500964,251.31618688065,253.99874646608,6423920,3170987210.07
2021-09-23,259.94568758157,259.94568758157,253.22126758432,253.83398272955,7971421,3955499103.71
2021-09-24,254.80196968168,263.88457065807,252.55191490465,257.43304059944,10262492,5155614316.07
2021-09-27,260.01777171631,267.63809453096,257.33521213088,264.39430846797,14496264,7441411134.81
2021-09-28,263.62197845297,266.68555417913,256.51654231498,257.66473960394,9222505,4682091359.49
2021-09-29,255.38379162631,263.51900111763,254.35401827298,258.73570389141,9395464,4739177462.63
2021-09-30,260.01777171631,274.17715532462,258.47826055308,270.69137252359,16714235,8696962248.11
2021-10-08,274.94948533962,283.22371423364,269.23424322863,274.94948533962,12516925,6710477515.55
2021-10-11,275.46437201628,276.80307737562,266.74219171356,268.25595854296,7830888,4112416011.4
2021-10-12,268.55459281543,269.09007495916,256.86666525511,260.01777171631,9590683,4879529812.42
2021-10-13,260.01777171631,269.02828855796,259.50288503964,268.90471575556,7652244,3950317431.22
2021-10-14,270.31550524963,275.40258561509,270.31550524963,274.07417798929,7841554,4161069009.13
2021-10-15,273.91971198629,298.05245052162,271.91165394729,292.97051902293,22951299,12822713734.87
2021-10-18,299.14915914292,306.48114541864,293.48540569959,306.36787034978,18670216,10933506377.62
2021-10-19,310.99155270624,316.64500841603,301.20870584958,304.09207123891,15088955,8990013549.6
2021-10-20,306.35757261624,315.82118973336,302.23847920291,303.52569589458,12466583,7444464950.09
2021-10-21,303.78313923291,308.41711932291,298.63427246625,306.87245929291,10142297,6008461971.03
2021-10-22,312.01102832603,312.01102832603,303.95305183621,309.6528473469,11021603,6612493209.14
2021-10-25,315.11064611956,321.88655478449,310.64657863287,314.47733550726,14052090,8636989621.97
2021-10-26,327.34435355715,328.74484531768,306.83641722554,307.89708377947,14827692,9075608784.6
2021-10-27,307.89708377947,316.67590161663,305.41532999794,316.67590161663,13548574,8191755889.74
2021-10-28,321.80417291622,326.95303968288,310.4406239622,312.63919007157,17282868,10650216882.86
2021-10-29,316.80462328579,332.35420092111,308.38622612231,329.12586145841,20268702,12687999698.06
2021-11-01,330.04235974288,349.60805345618,324.96042824418,334.67633983287,22179659,14502525103.64
2021-11-02,337.2507732162,342.79095385713,333.64656647954,338.7954332462,13140789,8630072694.35
2021-11-03,335.19122650954,337.7759576264,323.34883294622,329.52747306621,12760630,8165156864.72
2021-11-04,333.64656647954,337.2507732162,327.49367069338,333.05444680137,9201009,5951843600.42
2021-11-05,329.01258638954,334.563064764,326.43300413945,326.48449280711,8555085,5465118685.46
2021-11-08,327.98281303621,342.38934224933,324.89349297622,340.23711594086,12269565,8026800882.270001
2021-11-09,343.81042947692,343.94430001286,336.28793513083,341.51403489899,6674583,4413176640.35
2021-11-10,335.2581617775,338.0076566309,326.95303968288,333.64656647954,12739826,8216658651.91
2021-11-11,335.19122650954,342.46657525083,334.72782850054,337.68842689137,7701413,5069135677.35
2021-11-12,338.28054656953,340.78289581813,326.39696207208,330.04235974288,11420150,7312301472.1
2021-11-15,330.03721087611,330.03721087611,313.03050394583,319.22973953289,14007599,8684428486.27
2021-11-16,319.22973953289,321.86595931742,312.53621273623,316.63985954926,8433513,5202056654.99
2021-11-17,320.77439956289,324.60000757052,317.97341604183,322.25727319169,7561643,4721304801.75
2021-11-18,322.25727319169,327.80775156615,315.92931593546,322.31905959289,7527274,4697499805.41
2021-11-19,324.89349297622,329.01258638954,319.25548386672,329.01258638954,8456790,5343617369.66
2021-11-22,332.09675758277,350.63782680951,330.61388395398,350.63782680951,15308991,10215261575.49
